,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
9655,0.457,0.819,9,-3.701,1,0.0379,0.0173,0.0,0.111,0.454,139.993,audio_features,4zlzeOLv2NNgTFb4XAYST5,spotify:track:4zlzeOLv2NNgTFb4XAYST5,https://api.spotify.com/v1/tracks/4zlzeOLv2NNgTFb4XAYST5,https://api.spotify.com/v1/audio-analysis/4zlzeOLv2NNgTFb4XAYST5,203747,4
9656,0.447,0.989,8,-4.436,1,0.141,0.000161,0.151,0.377,0.213,140.442,audio_features,1LN0CjJK8XZtodDte1UBlS,spotify:track:1LN0CjJK8XZtodDte1UBlS,https://api.spotify.com/v1/tracks/1LN0CjJK8XZtodDte1UBlS,https://api.spotify.com/v1/audio-analysis/1LN0CjJK8XZtodDte1UBlS,205040,4
9657,0.572,0.674,7,-5.794,1,0.0353,0.0137,0.0,0.114,0.701,105.042,audio_features,0bLS5ST1rp2BcnSgBhSX7z,spotify:track:0bLS5ST1rp2BcnSgBhSX7z,https://api.spotify.com/v1/tracks/0bLS5ST1rp2BcnSgBhSX7z,https://api.spotify.com/v1/audio-analysis/0bLS5ST1rp2BcnSgBhSX7z,181133,4
9658,0.637,0.579,10,-7.991,0,0.157,0.64,0.0,0.237,0.457,80.085,audio_features,5bhAv8JVLW77s3VjxGt4Q6,spotify:track:5bhAv8JVLW77s3VjxGt4Q6,https://api.spotify.com/v1/tracks/5bhAv8JVLW77s3VjxGt4Q6,https://api.spotify.com/v1/audio-analysis/5bhAv8JVLW77s3VjxGt4Q6,304947,4
9659,0.651,0.815,0,-5.87,1,0.0698,0.0344,7.51e-05,0.118,0.42,109.044,audio_features,64qGiwJq4tO4wrxiY9CWjE,spotify:track:64qGiwJq4tO4wrxiY9CWjE,https://api.spotify.com/v1/tracks/64qGiwJq4tO4wrxiY9CWjE,https://api.spotify.com/v1/audio-analysis/64qGiwJq4tO4wrxiY9CWjE,209000,4
9660,0.434,0.265,9,-12.381,1,0.0362,0.974,1.15e-06,0.125,0.281,126.888,audio_features,0VIVkMQVgHEh4i92FB7cRW,spotify:track:0VIVkMQVgHEh4i92FB7cRW,https://api.spotify.com/v1/tracks/0VIVkMQVgHEh4i92FB7cRW,https://api.spotify.com/v1/audio-analysis/0VIVkMQVgHEh4i92FB7cRW,206171,3
9661,0.439,0.267,3,-16.488,1,0.0868,0.855,0.00177,0.117,0.491,73.574,audio_features,6TS236PVi4r5hHAcPikfrk,spotify:track:6TS236PVi4r5hHAcPikfrk,https://api.spotify.com/v1/tracks/6TS236PVi4r5hHAcPikfrk,https://api.spotify.com/v1/audio-analysis/6TS236PVi4r5hHAcPikfrk,207680,4
9662,0.58,0.94,2,-1.977,1,0.0307,0.0321,0.126,0.155,0.281,98.009,audio_features,1f53bVEyOWG7h6wsCpkNPt,spotify:track:1f53bVEyOWG7h6wsCpkNPt,https://api.spotify.com/v1/tracks/1f53bVEyOWG7h6wsCpkNPt,https://api.spotify.com/v1/audio-analysis/1f53bVEyOWG7h6wsCpkNPt,178776,4
9663,0.499,0.318,7,-13.776,1,0.0484,0.718,0.00104,0.379,0.282,121.499,audio_features,6H2iNAzdJZ7mQXcHrH79tA,spotify:track:6H2iNAzdJZ7mQXcHrH79tA,https://api.spotify.com/v1/tracks/6H2iNAzdJZ7mQXcHrH79tA,https://api.spotify.com/v1/audio-analysis/6H2iNAzdJZ7mQXcHrH79tA,321080,4
9664,0.548,0.433,9,-7.944,0,0.0333,0.19,0.0,0.163,0.1,120.009,audio_features,5AYD5mHQHXkUuZRDFNyEyi,spotify:track:5AYD5mHQHXkUuZRDFNyEyi,https://api.spotify.com/v1/tracks/5AYD5mHQHXkUuZRDFNyEyi,https://api.spotify.com/v1/audio-analysis/5AYD5mHQHXkUuZRDFNyEyi,297773,4
9665,0.547,0.637,1,-3.022,1,0.045,0.528,0.0,0.0997,0.588,80.942,audio_features,38O4krdJIyvMIjFRP7u9OY,spotify:track:38O4krdJIyvMIjFRP7u9OY,https://api.spotify.com/v1/tracks/38O4krdJIyvMIjFRP7u9OY,https://api.spotify.com/v1/audio-analysis/38O4krdJIyvMIjFRP7u9OY,187143,4
9666,0.581,0.922,1,-3.408,0,0.0666,0.024,0.0,0.202,0.596,118.408,audio_features,1N7Aep1OewK9diaN9WbuuR,spotify:track:1N7Aep1OewK9diaN9WbuuR,https://api.spotify.com/v1/tracks/1N7Aep1OewK9diaN9WbuuR,https://api.spotify.com/v1/audio-analysis/1N7Aep1OewK9diaN9WbuuR,191545,4
9667,0.63,0.467,10,-9.939,1,0.0526,0.0719,5.13e-05,0.11,0.212,129.884,audio_features,5dlad2sueP0bMjimGflomO,spotify:track:5dlad2sueP0bMjimGflomO,https://api.spotify.com/v1/tracks/5dlad2sueP0bMjimGflomO,https://api.spotify.com/v1/audio-analysis/5dlad2sueP0bMjimGflomO,208615,4
9668,0.7,0.653,11,-6.601,0,0.255,0.14,0.0,0.259,0.488,137.96,audio_features,4G9Z4FZyAGHxveWj3sTNLx,spotify:track:4G9Z4FZyAGHxveWj3sTNLx,https://api.spotify.com/v1/tracks/4G9Z4FZyAGHxveWj3sTNLx,https://api.spotify.com/v1/audio-analysis/4G9Z4FZyAGHxveWj3sTNLx,242960,4
9669,0.547,0.723,2,-4.804,0,0.0323,0.312,0.0,0.112,0.377,102.003,audio_features,3SMxd9vNy41n9Xk4UFw36S,spotify:track:3SMxd9vNy41n9Xk4UFw36S,https://api.spotify.com/v1/tracks/3SMxd9vNy41n9Xk4UFw36S,https://api.spotify.com/v1/audio-analysis/3SMxd9vNy41n9Xk4UFw36S,156187,4
9670,0.781,0.588,6,-5.348,0,0.0386,0.317,0.0,0.0983,0.564,93.979,audio_features,2GICtNjlmq5w1XIQ9s0D9y,spotify:track:2GICtNjlmq5w1XIQ9s0D9y,https://api.spotify.com/v1/tracks/2GICtNjlmq5w1XIQ9s0D9y,https://api.spotify.com/v1/audio-analysis/2GICtNjlmq5w1XIQ9s0D9y,208973,4
9671,0.557,0.909,11,-3.405,1,0.0423,0.00769,0.0,0.317,0.857,152.13,audio_features,6TwhBJgvrPrdNe57lYVV55,spotify:track:6TwhBJgvrPrdNe57lYVV55,https://api.spotify.com/v1/tracks/6TwhBJgvrPrdNe57lYVV55,https://api.spotify.com/v1/audio-analysis/6TwhBJgvrPrdNe57lYVV55,181400,4
9672,0.804,0.33,0,-16.037,0,0.478,0.236,0.000451,0.0959,0.274,84.964,audio_features,55T3ueugeM7wmISqjxZCwU,spotify:track:55T3ueugeM7wmISqjxZCwU,https://api.spotify.com/v1/tracks/55T3ueugeM7wmISqjxZCwU,https://api.spotify.com/v1/audio-analysis/55T3ueugeM7wmISqjxZCwU,197085,4
9673,0.261,0.524,2,-6.697,1,0.0437,0.612,2.11e-06,0.0923,0.119,58.883,audio_features,6REPF37KwcWMqyk6XCuB7p,spotify:track:6REPF37KwcWMqyk6XCuB7p,https://api.spotify.com/v1/tracks/6REPF37KwcWMqyk6XCuB7p,https://api.spotify.com/v1/audio-analysis/6REPF37KwcWMqyk6XCuB7p,274668,3
9674,0.533,0.148,0,-18.275,1,0.0329,0.924,0.932,0.112,0.108,63.637,audio_features,4zRweMHazlqCTUe6GvviYf,spotify:track:4zRweMHazlqCTUe6GvviYf,https://api.spotify.com/v1/tracks/4zRweMHazlqCTUe6GvviYf,https://api.spotify.com/v1/audio-analysis/4zRweMHazlqCTUe6GvviYf,221733,4
9675,0.554,0.282,9,-8.419,0,0.0355,0.877,0.0,0.112,0.323,120.048,audio_features,2okaCGJegLC7oK8z7OXutm,spotify:track:2okaCGJegLC7oK8z7OXutm,https://api.spotify.com/v1/tracks/2okaCGJegLC7oK8z7OXutm,https://api.spotify.com/v1/audio-analysis/2okaCGJegLC7oK8z7OXutm,275564,4
9676,0.401,0.904,11,-5.297,0,0.098,0.000385,1.63e-06,0.0643,0.251,153.422,audio_features,7msUsozEfRrk9ZDvk1ncgR,spotify:track:7msUsozEfRrk9ZDvk1ncgR,https://api.spotify.com/v1/tracks/7msUsozEfRrk9ZDvk1ncgR,https://api.spotify.com/v1/audio-analysis/7msUsozEfRrk9ZDvk1ncgR,240667,4
9677,0.664,0.557,10,-7.737,1,0.0493,0.181,0.00294,0.267,0.429,94.061,audio_features,4NqiiK63rKwYTwHpPhmC61,spotify:track:4NqiiK63rKwYTwHpPhmC61,https://api.spotify.com/v1/tracks/4NqiiK63rKwYTwHpPhmC61,https://api.spotify.com/v1/audio-analysis/4NqiiK63rKwYTwHpPhmC61,133287,4
9678,0.547,0.84,9,-4.156,0,0.0551,0.000371,0.0,0.0562,0.479,85.001,audio_features,2APSxNLHZxX2yUNbFeIZ1e,spotify:track:2APSxNLHZxX2yUNbFeIZ1e,https://api.spotify.com/v1/tracks/2APSxNLHZxX2yUNbFeIZ1e,https://api.spotify.com/v1/audio-analysis/2APSxNLHZxX2yUNbFeIZ1e,241787,4
9679,0.181,0.432,11,-8.922,1,0.0387,0.545,0.0,0.965,0.159,68.326,audio_features,0xGXCPSjxkHxElgi7kC5SZ,spotify:track:0xGXCPSjxkHxElgi7kC5SZ,https://api.spotify.com/v1/tracks/0xGXCPSjxkHxElgi7kC5SZ,https://api.spotify.com/v1/audio-analysis/0xGXCPSjxkHxElgi7kC5SZ,274814,4
